code,date,fundamental,technical,fundflow,sentiment,shortterm,total,pct_chg_score_day,resonance_count,is_resonance,fwd_ret_1,fwd_ret_3,fwd_max_3,hit_limit_3,trailing_5,trailing_10,_aligned,high_10d,high_20d,low_10d,low_20d,pullback_10d,pullback_20d,position_20d,max_pct_chg_5d,max_pct_chg_10d,min_pct_chg_5d,avg_pct_chg_5d,pct_chg_std_5d,pct_chg_std_10d,avg_vol_5d,avg_vol_10d,avg_amount_5d,vol_ratio_proxy,amount_ratio,amount_3d_increasing,consecutive_up,consecutive_down,gap_up,gap_up_bool,reversal_signal,limit_up_count_5d,limit_up_count_10d,limit_up_count_20d,limit_up_count_60d,vol_price_divergence,amplitude,upper_shadow_pct,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,free_share,net_mf_amount,net_mf_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_sm_amount,sell_sm_amount,earnings_yield,book_yield,log_circ_mv,turnover_healthy,net_mf_ratio,lg_buy_sell_ratio,elg_net,cpt_ret_1d_max,cpt_ret_3d_max,cpt_ret_5d_max,cpt_up_streak_max,cpt_turn_5d_max,cpt_ret_1d_avg,cpt_ret_3d_avg,cpt_ret_5d_avg,cpt_up_streak_avg,cpt_turn_5d_avg,n_concepts,cpt_up_ratio,inst_net_amount,inst_buy_amount,inst_sell_amount,inst_trade_count,n_inst_buyers,inst_buy_ratio,has_inst_net_buy,inst_score,tl_net_amount,tl_buy_amount,tl_sell_amount,tl_turnover,tl_pct_change,is_top_list,tl_quality
000006.SZ,20260610,61.0,0.0,9.0,0.0,20.8,19.21621621621621,2.4,0.0,0,-0.01875,-0.015,0.0075,0.0,-0.0577149587750295,-0.1878172588832487,True,9.83,11.25,7.59,7.59,0.1861648016276704,0.2888888888888888,0.1120218579234973,1.3095,1.3095,-6.463,-1.14222,2.769048387731785,2.416752635024942,309680.91000000003,338392.792,253682.347824,0.8251380751884253,0.8085436250862188,0.0,1.0,0.0,-0.1256281407035153,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.5226130653266265,52.77777777777772,,2.0115,1079996.0368,1079987.8768,1.8928,3.0041,0.77,85059.6698,-501.78,-6483.0,6436.46,,5093.24,63459.0,921.33,11566.0,1579.82,19751.0,5467.84,,0.0,0.4971414367387522,13.892460373852217,0.0,-0.0004646163265154,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000007.SZ,20260610,0.0,40.0,38.0,22.0,20.2,34.09756097560976,6.9,0.0,0,0.0065028901734103,0.0180635838150289,0.0361271676300578,0.0,0.1542952460383653,0.1552587646076795,True,14.44,14.44,11.14,11.14,0.0415512465373961,0.0415512465373961,0.8181818181818182,7.2712,7.2712,-1.1245,2.96442,3.3008791092071217,3.5068198365613257,128902.06,112954.188,166907.50770000002,1.49017401273494,1.6062282979017843,1.0,2.0,0.0,0.5331302361005319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.424219345011425,39.99999999999997,2487.9533,26.773,479484.0929,479484.0929,5.5445,8.3489,1.8,23007.4655,-2702.39,-18926.0,7947.06,,7591.66,54432.0,4195.64,29516.0,3495.52,24642.0,5947.62,,0.0004019368048427,0.037351062637732,13.08046599840707,1.0,-0.0056360368154353,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000008.SZ,20260612,0.0,0.0,0.0,0.0,5.2,2.166666666666667,2.1,0.0,0,0.0448979591836733,0.0204081632653061,0.0612244897959184,0.0,-0.0540540540540539,-0.0466926070038908,True,2.66,2.71,2.39,2.39,0.0789473684210526,0.095940959409594,0.1875000000000002,2.0833,2.0833,-4.0,-1.08562,1.973133153540328,1.7686573766843594,283855.232,277703.925,70520.324412,0.9407809682366536,0.9217748208336192,0.0,1.0,0.0,0.4166666666666874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.500000000000002,16.666666666666295,,3.0836,665512.5365,665492.765,0.9831,1.6147,0.98,165387.8495,612.54,24862.0,1366.94,,1788.96,73560.0,2294.94,94207.0,672.82,27674.0,1444.88,,0.0,0.3242962770787391,13.40828304523304,0.0,0.0009204307427744,0.0,,-0.1769,-3.2018000000000004,-2.4986000000000006,0.0,4.459890400000001,-0.1769,-3.2018000000000004,-2.4986000000000006,0.0,4.459890400000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000011.SZ,20260605,0.0,0.0,17.0,27.0,2.2,15.58536585365854,4.0,0.0,0,-0.054089709762533,-0.0343007915567281,-0.0184696569920843,0.0,0.0312925170068028,0.0026455026455027,True,7.66,8.65,7.15,7.15,0.010443864229765,0.1236994219653179,0.2866666666666664,4.9861,4.9861,-1.7473,0.6567000000000001,2.799364035633808,2.2453829651308927,48705.588,43876.266,35961.3588,1.306173328612725,1.309292044882353,1.0,1.0,0.0,-0.4155124653739572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.678670360110793,4.87804878048771,133.3188,1.342,451752.1517,399068.4616,1.2084,3.4015,1.31,18702.6342,481.31,6559.0,1074.1,,839.57,11249.0,136.82,1805.0,221.29,3000.0,2051.9,,0.0075008175891172,0.7451564828614009,12.89688826411072,0.0,0.0012060837833946,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000012.SZ,20260603,0.0,12.0,17.0,0.0,17.5,16.024390243902438,2.9,0.0,0,0.0218978102189779,0.0486618004866177,0.1046228710462287,0.0,-0.0764044943820224,0.1291208791208791,True,4.83,4.83,3.69,3.62,0.1490683229813664,0.1490683229813664,0.4049586776859506,2.716,10.0,-7.5342,-1.5179200000000002,3.383325745712346,5.242144901850768,673225.988,995942.6559999998,283961.7204,0.7533699813145063,0.7433791523119677,0.0,1.0,0.0,0.2439024390244126,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.902439024390248,81.24999999999987,99.5044,0.9594,1250454.6813,805279.1218,2.5886,4.2644,0.63,118935.415,250.0,4733.0,4505.2,108132.0,3895.92,93631.0,908.22,21639.0,746.43,18014.0,7745.8,8179.35,0.0100498068427124,1.0423181154888472,13.59894423145724,1.0,0.00031045136181,1.1560925038235323,161.79000000000008,-2.2546,-5.683699999999998,-5.707599999999999,0.0,6.3141128,-2.2546,-5.683699999999998,-5.707599999999999,0.0,6.3141128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000012.SZ,20260605,0.0,19.0,35.0,34.0,17.5,30.51219512195122,3.6,0.0,0,-0.0159817351598173,-0.0342465753424656,0.0251141552511415,0.0,0.0814814814814814,-0.0045454545454546,True,4.83,4.83,4.01,3.62,0.093167701863354,0.093167701863354,0.6280991735537188,4.2857,4.5455,-1.4423,1.59862,1.995038421083664,3.442922175187816,720125.74,1010530.639,305154.797,1.781185352435812,1.8297036733130565,1.0,3.0,0.0,-0.952380952380949,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.190476190476184,34.04255319148941,106.0412,1.0224,1332601.3392,858180.6699,6.5466,10.7847,1.99,118935.415,5835.29,130652.0,12764.09,,10577.35,243811.0,5939.91,134920.0,4232.96,97643.0,16534.49,,0.0094302969034677,0.9780907668231612,13.662569927282163,1.0,0.0067996054964509,0.0,,2.2402,1.3409000000000013,-2.0881999999999996,2.0,6.7000519999999995,2.2402,1.3409000000000013,-2.0881999999999996,2.0,6.7000519999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000019.SZ,20260611,33.0,0.0,27.0,17.0,4.5,25.33333333333333,3.6,0.0,0,0.0061068702290076,-0.0290076335877861,0.0366412213740459,0.0,0.0266457680250784,0.0202492211838005,True,6.71,7.16,6.21,6.21,0.0238450074515648,0.085195530726257,0.357894736842105,3.9683,3.9683,-1.2461,0.5447200000000001,1.879239142206228,1.9826135532675044,91174.902,92158.872,58182.042092,1.566141743700476,1.5920414760199064,0.0,2.0,0.0,-0.6349206349206327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.396825396825395,11.764705882352956,31.0387,1.4938,754910.5914,272615.1966,3.4308,5.2748,1.79,27070.6427,1615.33,24938.0,1870.68,,1236.59,19110.0,353.79,5401.0,0.0,0.0,3509.81,,0.0322178441751748,0.6694336591243808,12.515816543572647,1.0,0.0059253116486023,0.0,,0.6947,4.3756,-2.9823,3.0,1.8833938,0.6947,4.3756,-2.9823,3.0,1.8833938,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260603,54.0,34.0,11.0,31.0,13.8,37.173913043478265,7.0,0.0,0,0.0360313315926894,-0.0765013054830286,0.0535248041775457,0.0,-0.1291496134606639,0.0118890356671068,True,47.03,47.03,35.17,30.46,0.1856261960450776,0.1856261960450776,0.473144236572118,3.0124,9.0644,-8.4443,-2.6206000000000005,4.569307900328013,5.224070134760827,1952978.368,2231211.701,7743750.0236,0.963007189847174,0.9414997357585932,0.0,2.0,0.0,0.4572350726196994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.67025282409897,60.08064516129048,53.0913,4.513,6029463.9814,6028580.4004,11.9484,18.1628,0.86,103548.3103,-1215.17,-3669.0,187914.23,484763.0,194572.93,502047.0,125074.16,322746.0,139839.79,361084.0,208595.62,183139.25,0.0188354777524754,0.2215820961666297,15.612022118167827,1.0,-0.0002015681834349,0.965772906987077,-14765.630000000005,2.5543,3.6226,5.0122,2.0,9.3709976,1.4573583333333333,1.5610083333333333,0.5865583333333332,1.8333333333333333,6.923425066666667,12.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260604,54.0,18.0,13.0,17.0,13.8,19.944444444444443,4.2,0.0,0,-0.0390624999999998,-0.0539314516129032,-0.0095766129032258,0.0,-0.0696365767878076,0.0910090734121529,True,47.03,47.03,35.17,30.46,0.1562832234743781,0.1562832234743781,0.556427278213639,3.6031,9.0644,-8.4443,-1.2951600000000003,5.18035803612067,5.109952415786276,1842460.356,2146394.915,7171396.312000001,0.9024914238100435,0.9134004944112756,0.0,3.0,0.0,-2.062663185378588,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.441253263707575,23.508771929824608,55.0042,4.6756,6246713.5974,6245798.1798,10.5639,16.0583,0.85,103548.3103,32143.12,80979.0,170742.13,,166999.2,424005.0,118600.09,301041.0,122738.87,311931.0,177087.67,,0.0181804298580835,0.2138762939515784,15.647419504391497,1.0,0.0051463590520674,0.0,,2.9901,8.4606,3.3238000000000003,3.0,9.276029399999999,1.5800166666666666,5.6668416666666666,-0.34015000000000023,2.8333333333333335,6.8174573333333335,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000021.SZ,20260610,51.0,0.0,0.0,0.0,8.2,14.041666666666668,3.0,0.0,0,0.0134854771784231,0.0235995850622405,0.0516078838174272,0.0,0.0067885117493473,-0.1232378353797178,True,43.88,47.03,34.85,32.88,0.121239744758432,0.1800978099085689,0.4014134275618374,6.1351,6.1351,-7.2384,0.2621199999999999,5.006285924874847,5.0048232111034645,1356368.054,1654673.211,5135413.49334,1.0673859987563523,1.0687157704959196,0.0,2.0,0.0,-2.2376132125732417,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.09802876931273,24.999999999999943,53.455,4.5435,6070769.8717,6069880.2925,9.1972,13.9803,1.0,103558.0303,-7383.28,-22513.0,145453.33,,142269.32,375752.0,85654.66,224641.0,75747.02,199892.0,150484.22,,0.0187073239173136,0.220094640695499,15.618849441671529,1.0,-0.001216379836868,0.0,,-0.5215,0.9318000000000006,1.4080000000000013,0.0,9.5507498,-1.8756416666666667,-1.349008333333333,-2.0628333333333333,0.0,6.5897155666666665,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
