score_col,n_valid,ic_fwd_ret_1,ic_fwd_ret_3,ic_fwd_max_3,ic_hit_limit_3,ic_trailing_10,chasing_score,hit@10,fwd3@10,winrate@10,hit@20,fwd3@20,winrate@20,hit@50,fwd3@50,winrate@50,push_n@t25,push_hit@t25,push_fwd3@t25,push_winrate@t25,push_n@t30,push_hit@t30,push_fwd3@t30,push_winrate@t30,push_n@t35,push_hit@t35,push_fwd3@t35,push_winrate@t35,push_n@t40,push_hit@t40,push_fwd3@t40,push_winrate@t40,push_n@t45,push_hit@t45,push_fwd3@t45,push_winrate@t45,push_n@t50,push_hit@t50,push_fwd3@t50,push_winrate@t50
new_total_v2,3846,0.06694587631872262,0.08099209333678052,0.19758282739768593,0.19181734095644182,0.43147947702961614,0.3504873836928356,0.3333333333333333,-0.016488351153442653,0.3,0.5263157894736842,0.03743874301826266,0.6,0.4444444444444444,0.026915903216836724,0.54,3660,0.17981438515081208,0.001947610344976286,0.4237704918032787,3577,0.1827637444279346,0.0026563077043723657,0.42717360916969527,3483,0.18618159584225008,0.0034241140786124735,0.43209876543209874,3366,0.18896639188332276,0.004025033942111069,0.43404634581105167,3225,0.1951543312313309,0.004893430037065616,0.4356589147286822,3057,0.20028109627547436,0.005521459595082074,0.43735688583578675
shortterm,3846,-0.0005272770766769409,0.014361260402118705,0.1495176742385902,0.18487633211284132,0.4138743127531283,0.3995130523510096,0.7,0.04046271325247583,0.7,0.631578947368421,0.031294579854750024,0.55,0.44680851063829785,0.006770709445742775,0.42,823,0.32574679943101,0.013344375251366317,0.41433778857837184,363,0.33753943217665616,0.004423434468654711,0.39944903581267216,132,0.3963963963963964,0.01053935529741865,0.4166666666666667,14,0.6428571428571429,0.040804450151345095,0.6428571428571429,0,0.0,0.0,0.0,0,0.0,0.0,0.0
limit_up_gene_20d,3846,0.017222962970861237,-0.0003887593876162835,0.1556719716572816,0.1820838977567637,0.41439253084181216,0.41478129022942845,0.4,0.030191110631069062,0.4,0.35294117647058826,0.021152859485270566,0.35,0.41025641025641024,0.0037528607601698826,0.34,233,0.3645833333333333,0.009263240733390068,0.38626609442060084,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
limit_up_gene_composite,3846,0.02373433608691068,5.1568577550476294e-05,0.16238899608010882,0.17795529758440212,0.3913225128462809,0.39127094426873044,0.0,-0.0759732923932564,0.0,0.5,0.04889368574855904,0.35,0.3225806451612903,0.026897424391374256,0.32,4,0.0,-0.0759732923932564,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
limit_up_gene_60d,3846,0.026603460835074772,-0.0007836397220496189,0.16111000147371607,0.17105859038865356,0.3570736531925479,0.35785729291459756,0.5,0.010134096930446528,0.1,0.5454545454545454,-0.018968835618407745,0.25,0.40625,0.012664509818943282,0.3,67,0.32558139534883723,0.012542285883485603,0.3283582089552239,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
total,3846,0.05200108981738994,0.06786265416645225,0.14242519971360296,0.1461751350822234,0.4382660999329969,0.37040344576654466,0.3,-0.024373088739637987,0.5,0.3,-0.019658163857908223,0.45,0.2,-0.016662922069115637,0.44,2073,0.2305263157894737,0.009571284319860238,0.44958996623251324,1421,0.24380804953560373,0.008441192310567362,0.43842364532019706,839,0.24705882352941178,0.007697223544809267,0.4398092967818832,402,0.25866666666666666,0.007701299549483856,0.4527363184079602,150,0.23129251700680273,0.0008945783028589352,0.43333333333333335,60,0.25,-0.0042667308989061915,0.4666666666666667
technical,3846,0.08398058120640006,0.07067509289882716,0.15235703621990787,0.12914453068811432,0.5658937993450118,0.49521870644618465,0.3,0.025580242013264264,0.4,0.2,0.009292827879337806,0.35,0.22,0.028877924005048627,0.48,1271,0.2755194218608853,0.011693366067818975,0.4374508261211644,994,0.28604923798358733,0.012866515498495447,0.4386317907444668,677,0.28061224489795916,0.015386054349636694,0.4505169867060561,341,0.2674772036474164,0.015413117105741227,0.5073313782991202,175,0.26285714285714284,0.017710875216813905,0.49714285714285716,70,0.2857142857142857,0.037832357106140725,0.5285714285714286
sentiment,3846,0.03615538671806487,0.01930557170058,0.1234646595603264,0.1180604821553927,0.3104803745004651,0.2911748027998851,0.1,-0.004925562993252805,0.3,0.25,0.025974984110671163,0.55,0.2653061224489796,0.0236765845432914,0.58,1433,0.22448979591836735,-0.0008848074098533757,0.39846475924633634,1001,0.24970828471411902,0.0005822793899360575,0.3836163836163836,616,0.3055555555555556,0.013964042593612332,0.4090909090909091,336,0.35294117647058826,0.033742897972983084,0.4642857142857143,216,0.3621621621621622,0.03862902504105245,0.5,141,0.35658914728682173,0.040539877389620914,0.574468085106383
sentiment_contrarian,3846,0.044901797505495784,0.04303516181811255,0.05030419456603051,0.05158448285314404,0.1439837907887474,0.10094862897063485,0.2,-0.013756030777424978,0.3,0.35,0.06611231571292923,0.6,0.3,0.044733031817425946,0.54,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
pullback_from_peak,3846,0.04067916374475802,0.03221711096539611,0.019824826656148403,0.04809182472979714,-0.003348500937546771,-0.035565611902942884,0.4444444444444444,0.02975673572399255,0.7,0.5294117647058824,0.039583881575952044,0.65,0.2857142857142857,-0.004461778585524832,0.42,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
fundflow,3846,0.028499278641278207,0.033753667889819185,0.03535801829922697,0.02104690854767919,0.04405564852148648,0.010301980631667297,0.4,-0.0020692276502115013,0.4,0.3,-0.032270787413092035,0.25,0.28,-0.016328416208824793,0.4,1154,0.18606701940035272,0.0038942022469745105,0.4506065857885615,842,0.20168067226890757,0.005376312225973375,0.45486935866983375,584,0.20481927710843373,0.0021599618977681118,0.4571917808219178,389,0.20051413881748073,-0.0013139522007889108,0.4190231362467866,243,0.19753086419753085,-0.00465719356813663,0.4156378600823045,147,0.1836734693877551,-0.016912799704188103,0.38095238095238093
fundamental,3846,0.047465865369053215,0.10692171222143727,0.09978476657652698,0.008188059208144555,0.08375802402809333,-0.02316368819334394,0.2,-0.044406736164774724,0.2,0.15,-0.03242713678612923,0.3,0.12,-0.00492435912137956,0.4,2879,0.18114328136599853,0.0061730269395226965,0.4445988190343869,2870,0.1813780260707635,0.006109961018029873,0.4442508710801394,2787,0.18335251246643652,0.006508217483796551,0.4456404736275565,2558,0.18379281537176273,0.007049449081868919,0.4483971853010164,2265,0.1879449454200285,0.007699743629457239,0.4498896247240618,1905,0.18458075407990995,0.00912861012358448,0.4608923884514436
reversal_signal,3846,0.005040064592022412,-0.020784258218713166,-0.03141843029642838,-0.04806317409343541,-0.15194375634681614,-0.13115949812810299,0.1111111111111111,0.040507754125656485,0.4,0.1111111111111111,0.004198342636581448,0.3,0.1702127659574468,-0.0009508916144795038,0.36,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
vol_expansion_quality,3846,-0.057700950485318564,-0.07242159764687062,-0.1206883693466385,-0.07374083753127945,-0.08132197475676353,-0.008900377109892915,0.2,-0.008496257382714974,0.3,0.1111111111111111,-0.03249627165927655,0.25,0.13043478260869565,-0.010052509109476613,0.38,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
