code,trade_date,label,position_20d,trailing_10,trailing_5,pct_chg_std_10d,pct_chg_std_5d,limit_up_count_20d,limit_up_count_60d,avg_amount_5d,pct_chg_score_day,turnover_rate,volume_ratio,circ_mv,pe,pb,fwd_ret_3,hit_limit_3,fwd_max_3,max_pct_chg_5d,max_step,was_limit,prev_turnover,prev_vol_ratio,vol_accel,cmv_yi,pullback_10d,pullback_20d,prev_pct,pct_5d,positive_5d,close_pos,body_ratio,upper_ratio,lower_ratio,amplitude,net_mf_amount,net_mf_ratio,buy_elg_ratio,buy_lg_ratio,mf_net,mf_accel,mf_pct,sector_heat,sector_rank,n_concepts,auc_amount,auc_vol,auc_amt_ratio,auc_vol_ratio,dt_is_listed,dt_net_amount,dt_net_rate,dt_l_buy_ratio,dt_n_exalter,dt_inst_net_buy,dt_hot_net_buy,dt_inst_sell_ratio,fundamental,technical,fundflow,sentiment,shortterm,id_vwap_dev,id_range,id_morning_vol_ratio,id_afternoon_strength,id_tail_vol_ratio,id_amount_ratio
000026.SZ,20260519,1,0.7884615384615385,0.1166390270867883,0.0029791459781529,2.9947997218971087,1.103062321720763,0.0,2.0,390484813.8,10.0,3.7175,0.61,736412.6807,93.8689,2.4122,0.1498649864986498,1.0,0.1498649864986498,1.8371,0.0,0.0,6.1709,0.95,-0.3578947368421052,73.64126807000001,0.0417457305502845,0.0417457305502845,-0.2959,0.3278999999999999,2.0,0.8333333333333314,0.3333333333333313,0.1666666666666686,0.5,0.0297029702970297,-4293.75,-0.1588556247605164,0.5023832750677836,0.4882122804751961,-4293.75,-3.181340174761227,-0.0158855624760516,0.0,0.0,0.0,1656400.0,80800.0,0.0042419063212234,0.5961911208695595,1.0,-26079398.51,-5.41,0.3827020581510116,10.0,-4391333.0,-15492348.68,0.0091023924312342,0.0,0.0,0.0,0.0,0.0,0.012510780494247,0.0299492385786801,0.6518184568388586,0.5341695061071554,0.1079046979568646,0.6924260366716468
000417.SZ,20260519,1,1.0,0.2015267175572519,0.1178977272727272,3.0630482779863266,4.590574567959876,1.0,1.0,288745340.20000005,10.0381,1.2161,0.21,613094.6039,38.3091,1.2882,0.1824480369515011,1.0,0.1824480369515011,10.0699,1.0,1.0,6.0351,1.23,-0.8292682926829269,61.30946039,0.0,0.0,-4.1555,11.78,4.0,0.5,0.0,0.0,0.0,0.0,-7456.11,-1.000000268236458,0.94072870973105,0.0507969781246108,-7456.11,-0.1539518708880624,-0.1000000268236457,0.0,0.0,0.0,90710512.3,10474655.0,0.3141540301123792,110.56107874857412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9327007314678968,0.0721552650936456,0.011821703380796,0.2582246589619595
000586.SZ,20260519,1,0.2993197278911565,0.0383120488617434,-0.0320910973084886,4.572165965819702,3.725579246560191,1.0,6.0,403221223.4,10.0,6.6208,0.54,357525.3,,11.3584,-0.1434127369956246,0.0,-0.0286825473991249,4.2209,0.0,0.0,9.3037,0.68,-0.2058823529411765,35.75253,0.0966183574879227,0.1418081688848095,-4.2172,-2.9023000000000003,2.0,0.7361111111111089,0.7361111111111089,0.263888888888891,0.0,0.0385026737967913,2117.36,0.0898784265831772,0.5352969189368971,0.5030167288467224,2117.36,2.245432621610494,0.0089878426583177,0.0,0.0,0.0,2175887.0,114100.0,0.0053962610937309,0.901384862106286,1.0,-73623151.85,-7.54,0.3359578557211784,10.0,-96923058.5,6989612.25,0.0993166521886029,0.0,0.0,0.0,0.0,0.0,0.0045601498815484,0.0379746835443037,0.5944479116469036,0.682233178731378,0.1127323574255626,0.5843831185598253
000600.SZ,20260519,1,0.6170212765957453,0.0112474437627814,-0.0080240722166499,2.091962630372493,1.3209511461064714,0.0,1.0,603204837.1999999,10.0101,3.2584,0.58,1078060.3164,9.4936,1.4291,-0.0689338235294118,0.0,-0.0661764705882353,1.6444,0.0,0.0,5.1846,0.94,-0.3829787234042553,107.80603164,0.0517737296260785,0.0517737296260785,-1.9153,-0.7612999999999999,3.0,0.75,0.4375000000000014,0.25,0.3124999999999986,0.0323559150657229,2580.91,0.0738073616336602,0.53190115809906,0.5046537530176897,2580.91,1.447078815762806,0.007380736163366,0.0,0.0,0.0,582521.0,58900.0,0.0009657100939441,0.1658309425335251,1.0,-64804423.6,-6.08,0.4196734195948268,10.0,-260365912.4,75376428.0,0.2444479541860332,75.0,70.0,85.0,68.0,0.0,0.0043489554679922,0.0236382322713257,0.6379395294230266,0.5675466934999823,0.1066076169614928,0.5798245097362095
000636.SZ,20260519,1,0.915938864628821,0.1641613924050633,0.0340829234012649,3.6672441323697007,5.09160815342265,1.0,3.0,2840388472.4,9.9898,10.389,1.35,3405089.5857,120.1867,2.7278,0.1621872103799815,1.0,0.1621872103799815,9.0,0.0,0.0,6.1193,0.76,0.7763157894736843,340.50895857,0.0254966887417218,0.0254966887417218,-4.2893,3.9975,3.0,0.907849829351536,0.907849829351536,0.092150170648464,0.0,0.0995582738702004,-2696.15,-0.0076879462933162,0.5831208918623539,0.5384860888330834,-2696.15,-0.1033606429910214,-0.0007687946293316,0.0,0.0,0.0,48546960.0,1640100.0,0.0170916620989452,1.3644551002260117,1.0,-301836980.22,-6.8,0.3990447449458115,10.0,316471058.97,-481546788.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0084234088960457,0.1094508778483376,0.6749008750284937,0.4816990716714967,0.0958346713609945,1.23503871955793
000811.SZ,20260519,1,0.9770531400966186,0.404790905399919,0.1968177101349015,3.970476132313982,4.16346192267925,3.0,5.0,1920691601.6,10.0,5.4037,0.93,3385249.0563,60.8445,5.2565,-0.0948502364687335,0.0,-0.0283762480294273,9.9965,0.0,0.0,5.6986,1.02,-0.088235294117647,338.52490563,0.0108633504859918,0.0108633504859918,-1.6043,18.7099,3.0,0.99526066350711,0.8009478672985807,0.00473933649289,0.1943127962085292,0.0609826589595375,-3521.82,-0.0197969114194202,0.5111404173467008,0.4928472896808445,-3521.82,0.3226969654427023,-0.001979691141942,0.0,0.0,0.0,9931974.0,289900.0,0.0051710404688219,0.5483332598187214,1.0,32086368.52,1.65,0.5172741982165607,10.0,52205078.33999999,65884039.2,0.0706045849476417,0.0,0.0,0.0,0.0,0.0,0.0280581065749623,0.0548780487804878,0.5333992820043352,0.8747681778691867,0.1971896787177459,0.9264141528591768
000837.SZ,20260519,0,0.8341232227488153,0.1251141552511416,0.0458404074702887,1.8043006232055676,2.49651890551624,0.0,0.0,502398720.8000001,3.6526,3.2012,0.81,1241120.9112,238.3106,2.5591,-0.009397024275646,0.0,-0.0070477682067344,4.0438,0.0,0.0,5.0536,1.42,-0.4295774647887324,124.11209112,0.0276243093922651,0.0276243093922651,4.0438,4.6561,2.0,0.6428571428571433,0.3928571428571417,0.3571428571428567,0.2500000000000016,0.0227272727272726,-4011.74,-0.1013993796326637,0.6931705008233658,0.4967482748584935,-4011.74,-1.4476419168171175,-0.0101399379632663,0.0,0.0,0.0,1036350.0,84600.0,0.0020628038191453,0.2623337320433956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,70.0,20.0,80.0,0.0,0.0040452613540451,0.0222222222222221,0.6805575366678036,0.4693834776942949,0.0912462401934943,0.7876352498865676
000899.SZ,20260519,1,0.2635983263598329,0.0046367851622874,-0.0412979351032448,2.5354491478385044,2.859586913104758,0.0,4.0,610309621.5999999,10.0,1.9763,0.42,1268381.088,12.6005,1.906,-0.0853146853146853,0.0,-0.0615384615384615,3.2448,0.0,0.0,3.1327,0.64,-0.34375,126.8381088,0.1192411924119241,0.1192411924119241,-2.8571,-3.9931,2.0,0.5945945945945947,0.4054054054054052,0.4054054054054052,0.1891891891891894,0.0284615384615385,-1931.23,-0.0772297059865337,0.6726208052435236,0.4778674646418754,-1931.23,0.014653435036608,-0.0077229705986533,0.0,0.0,0.0,740740.0,57200.0,0.0012137118173855,0.2966384023512016,1.0,59937492.12,4.33,0.5481981147760975,10.0,-117263196.62,126430343.01,0.0846964222530461,0.0,0.0,0.0,0.0,0.0,0.0020539950088998,0.0233463035019456,0.5496222002105514,0.8194316015927233,0.1209789085553371,0.4098923909214674
000910.SZ,20260519,1,0.1139240506329112,-0.0682148040638606,-0.0488888888888888,1.5317157015174194,2.593801790114272,0.0,0.0,95338377.79999998,9.9688,4.1192,2.04,351290.202,263.4987,0.5446,-0.0410764872521246,0.0,0.009915014164306,4.1204,0.0,0.0,6.4195,7.71,-0.7354085603112841,35.1290202,0.0749279538904899,0.098314606741573,4.1204,-1.8747,2.0,0.214285714285714,0.1904761904761907,0.5952380952380953,0.214285714285714,0.0654205607476635,159.31,0.010904840186319,0.1659692425004766,0.6041773215786556,159.31,1.0527614392072702,0.0010904840186319,0.0,0.0,0.0,1406637.0,214100.0,0.0147541528653952,0.9498819058544136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0101183468439221,0.0646687697160883,0.7134731760989548,0.4015943885482607,0.0821221317148485,1.533310817461801
001259.SZ,20260519,1,1.0,0.9550528789659224,0.6106001936108421,4.191595975055326,0.0052221068545172,6.0,6.0,111472212.0,10.0075,14.1541,7.31,316408.6408,525.7565,6.7396,0.0818194235760143,1.0,0.202021581751127,10.011,6.0,1.0,1.1953,0.49,13.918367346938776,31.64086408,0.0,0.0,10.0,50.0062,5.0,1.0,0.0,0.0,1.0,0.0531930879038317,-28353.67,-0.6347316134609172,0.5748233097875864,0.3235936680048806,-28353.67,-7.246325261608798,-0.0634731613460917,0.0,0.0,0.0,43711758.0,597400.0,0.3921314309255835,8.87735621810954,1.0,154132502.4,32.04,0.7133519844428889,10.0,-35773990.0,189906492.4,0.0743608038177737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9648562300319488,0.0364238410596026,0.0093914852515045,4.017577268494502
001326.SZ,20260519,1,0.9230769230769228,0.0449876018420121,0.0137457044673539,2.2399440466839797,1.4838044623197493,0.0,1.0,68173707.60000001,10.0,5.7307,1.16,142209.6411,170.4459,3.494,0.0422187981510013,0.0,0.0422187981510013,2.1411,0.0,0.0,5.6067,1.14,0.0175438596491228,14.22096411,0.0082366784333501,0.0082366784333501,2.1411,1.4223,3.0,1.0,0.327188940092166,0.0,0.672811059907834,0.0367796610169491,300.12,0.0373392934204338,0.0,0.5260892388451444,300.12,-0.0295230396119644,0.0037339293420433,0.0,0.0,0.0,188992.0,3200.0,0.0027722124357514,0.2316659897676028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139750076766616,0.0345432228651587,0.5765583146311446,0.7344299347061778,0.1379859552595381,1.1789512823855863
001896.SZ,20260519,1,0.0429447852760738,-0.1305375073833431,-0.1243307555026769,5.702593013312014,4.949919837169083,1.0,11.0,3284521673.0,9.9864,7.3805,0.55,2245950.1178,57.5355,6.3032,-0.0265596046942557,1.0,0.0111179740580604,4.5936,0.0,0.0,12.1439,0.95,-0.4210526315789473,224.59501178,0.2412371134020617,0.2412371134020617,-9.6908,-12.4728,2.0,0.2470588235294128,0.0235294117647074,0.7529411764705871,0.2235294117647054,0.0577445652173912,-11415.42,-0.0685752796648118,0.425195994922843,0.4850544527480531,-11415.42,0.8433634442253732,-0.0068575279664811,0.0,0.0,0.0,6830416.0,468800.0,0.0020795770830646,0.4163006312877612,1.0,-283068887.44,-11.74,0.2680168881248452,10.0,-54248731.22,-255944521.83,0.0224903309525746,0.0,0.0,0.0,0.0,0.0,-0.0047680266953499,0.0550584996558844,0.7412717075094041,0.3490330062102277,0.0869827760747636,0.5070974211227255
002031.SZ,20260519,0,0.8171091445427726,0.450354609929078,0.1267217630853994,4.021494231265289,4.463022221589313,3.0,3.0,3274541032.4,2.445,34.4907,1.83,1565341.6312,,9.2699,-0.116945107398568,0.0,-0.1002386634844869,9.9476,0.0,0.0,25.3022,1.57,0.1656050955414012,156.53416312,0.0704545454545455,0.0704545454545455,9.9476,12.5533,3.0,0.173333333333332,0.1866666666666674,0.6400000000000006,0.173333333333332,0.0916870415647921,-12985.25,-0.0234717758179361,0.3038821574567911,0.4422736160343633,-12985.25,-1.6613331527031376,-0.0023471775817936,0.0,0.0,0.0,47722145.25,6017925.0,0.0145736898019638,0.9117769630122003,1.0,-372720086.18,-6.74,0.3667292411251551,10.0,215110217.38,-488660218.21,0.0,25.0,70.0,40.0,75.0,0.0,-0.0252273353197063,0.0905707196029774,0.6827172427585747,0.4647352335198367,0.0728210574799021,1.6914452187946876
002067.SZ,20260519,1,0.4000000000000003,-0.0224032586558045,-0.0303030303030303,2.1990538121826395,1.7078471083794358,0.0,0.0,157406435.0,10.0,2.1717,0.83,642049.8494,127.6514,1.0588,-0.0151515151515151,0.0,-0.0075757575757575,2.1053,0.0,0.0,3.2941,1.27,-0.3464566929133859,64.20498493999999,0.0588235294117646,0.0588235294117646,2.1053,-2.9944,2.0,0.5454545454545447,0.4545454545454552,0.0,0.5454545454545447,0.0229166666666665,-2263.42,-0.1630938707394859,0.2870984283490917,0.4924417136324968,-2263.42,-1.6419938677278545,-0.0163093870739485,0.0,0.0,0.0,48091296.0,9108200.0,0.3055230620018807,31.35430551118651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047760583824121,0.0210526315789472,0.6588936738578899,0.5176955549518296,0.1165157163855927,0.8816275395602473
002123.SZ,20260519,1,0.1428571428571431,-0.0147679324894515,-0.0565656565656566,2.078542727225014,2.217309842669716,0.0,0.0,152666191.0,9.9572,1.9601,0.86,672976.9431,,4.9436,-0.0632911392405063,0.0,-0.0165530671859786,1.6322,0.0,0.0,2.1935,0.96,-0.1041666666666666,67.29769431,0.0715705765407555,0.123827392120075,-0.9698,-5.6642,2.0,0.7241379310344817,0.7241379310344817,0.2758620689655183,0.0,0.0310492505353318,1819.6,0.1384142257327594,0.5950708844596427,0.5664691635590894,1819.6,2.018026384988083,0.0138414225732759,0.0,0.0,0.0,72384.0,7800.0,0.0004741324816311,0.055228836079894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002970618836763,0.0317634173055858,0.5199212637452117,0.9233681515477536,0.106301024562596,0.8614812496369939
002129.SZ,20260519,0,0.5167464114832536,0.0858468677494199,0.0297029702970297,2.437595176418759,4.409842268199624,0.0,0.0,2814360658.0,4.8077,3.7543,0.54,3781233.8928,,1.8915,-0.0458715596330275,0.0,-0.0193679918450562,5.9252,0.0,0.0,6.3231,1.04,-0.4807692307692307,378.12338928,0.0973963355834136,0.0973963355834136,-2.5768,3.4163,2.0,0.1499999999999973,0.7500000000000044,0.0999999999999982,0.1499999999999973,0.0427350427350425,-33687.69,-0.2349193304609439,0.2994251243445658,0.4812167183719905,-33687.69,-2.7631551902484146,-0.0234919330460943,0.0,0.0,0.0,7629692.0,813400.0,0.0027109858782001,0.536313953625762,1.0,517146259.17,10.46,0.7213024710599907,10.0,51223562.95999999,463151884.31,0.0044481911115286,55.2,0.0,16.0,16.0,0.0,-0.0100364312409799,0.037593984962406,0.6522956050107506,0.5330472753737453,0.1146005792996316,0.5095242185552183
002135.SZ,20260519,1,0.4185185185185184,0.0279542566709021,-0.13475935828877,3.656259885439628,3.3398229980644185,0.0,0.0,435101076.8,10.0124,3.5328,0.73,844492.1204,184.2162,1.4552,-0.0202247191011235,0.0,0.0123595505617977,1.41,0.0,0.0,7.2325,1.7,-0.5705882352941176,84.44921204,0.1625258799171842,0.1625258799171842,-7.3948,-13.9788,1.0,0.5,0.2272727272727316,0.5,0.2727272727272683,0.0271940667490727,177.67,0.0059759147394277,0.2891772333096296,0.5371018143517827,177.67,1.043149969641773,0.0005975914739427,0.0,0.0,0.0,986580.0,121800.0,0.0022674731289012,0.330283382328532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033408006665949,0.0225281602002502,0.6322778511441998,0.5815831571363015,0.1307850628977718,0.6833906093426612
002150.SZ,20260519,1,0.5509090909090908,0.0373342637822748,0.017105713308245,2.67110168497476,3.149535806178428,0.0,6.0,616384963.4,9.9899,6.7418,1.22,1065954.2196,38.1327,4.9593,0.039755351681957,0.0,0.0510703363914371,4.6479,0.0,0.0,9.1112,2.13,-0.4272300469483567,106.59542196,0.0440514469453376,0.0767080745341615,4.6479,1.9468,3.0,0.5478723404255328,0.4946808510638299,0.4521276595744672,0.0531914893617029,0.0632357887655566,61.62,0.0008553761644739,0.5034323934697176,0.5138855921429841,61.62,-0.990950465473867,8.553761644739833e-05,0.0,0.0,0.0,2545750.0,85000.0,0.0041301299531344,0.3516394486012134,1.0,-34752380.11,-1.06,0.4774259765855932,20.0,-150990419.24,-110736778.89000002,0.0537551337101751,0.0,0.0,0.0,0.0,0.0,-0.0032231242400401,0.0590277777777776,0.7517426828007033,0.330242412569133,0.0809142620746716,1.1696784490379086
002173.SZ,20260519,1,0.1375358166189103,-0.0047434238896076,-0.0486397361912614,2.132646509685794,2.6714737583588577,0.0,0.0,515175635.6,10.0087,3.1011,0.54,971356.4915,,5.9051,-0.087829854273336,0.0,-0.0527766837337534,3.7975,0.0,0.0,4.6153,0.78,-0.3076923076923077,97.13564915,0.0742077817890092,0.1153698735147566,-0.8921,-4.7834,1.0,0.3207547169811279,0.018867924528298,0.6792452830188721,0.3018867924528298,0.0229636048526863,-376.64,-0.0124615452360428,0.3242136940602316,0.4521824436021173,-376.64,0.9187666612027986,-0.0012461545236042,0.0,0.0,0.0,21641004.0,886200.0,0.0420070409090596,6.789949740427317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033494145738883,0.0222513089005234,0.5781973091421742,0.7295134103678576,0.1712280486683625,0.5866800467921818
002178.SZ,20260519,1,0.2658227848101265,-0.0792079207920791,-0.0477815699658703,1.6987439158389943,2.0629423970629914,0.0,1.0,80173196.39999999,10.0358,2.4818,1.28,397175.0022,444.0602,9.1959,-0.0570032573289901,0.0,-0.03257328990228,2.5735,0.0,0.0,2.0078,1.07,0.1962616822429905,39.71750022,0.0730897009966776,0.0941558441558441,-2.1583,-4.7659,2.0,0.6774193548387104,0.5483870967741941,0.3225806451612896,0.1290322580645164,0.0555555555555554,746.37,0.0764509431177511,0.5955323615505159,0.6467905746002547,746.37,4.683049592894152,0.0076450943117751,0.0,0.0,0.0,786780.0,141000.0,0.0098135042050038,0.7981951053770384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088834222095195,0.0558659217877095,0.3663309727199135,1.72977191247373,0.1063578055918799,1.2186393506446254
002208.SZ,20260519,1,1.0,0.7596302003081663,0.5359784801613989,4.226932512103192,2.067007178894161,4.0,5.0,1671025053.2,9.9825,0.7837,0.06,1834217.0578,,3.0978,-0.1373407643312101,0.0,0.0302547770700636,10.0244,1.0,1.0,19.9873,2.05,-0.9707317073170731,183.42170578,0.0,0.0,4.8485,44.9124,5.0,0.5,0.0,0.0,0.0,0.0,-14375.09,-1.0000001947814272,0.871541599036186,0.0,-14375.09,-1.7498660682381677,-0.1000000194781427,0.0,0.0,0.0,387698300.0,16497800.0,0.2320122605328751,262.1269337021183,1.0,-50798920.45,-0.96,0.4783339335222167,10.0,-123132616.16,0.0,0.0521536216325297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9248466745050684,0.0812603078614623,0.0224506657345324,0.0860252763564011
002226.SZ,20260519,1,0.6399999999999988,0.0386740331491712,0.0125673249551165,1.1932900837076457,1.361665094801214,0.0,0.0,175870044.79999998,9.9291,1.1666,0.9,1493989.7999,19.7214,1.5402,-0.046774193548387,0.0,0.0419354838709677,2.1898,0.0,0.0,1.5619,1.41,-0.3617021276595744,149.39897999,0.0309278350515464,0.0309278350515464,0.53,1.2967,3.0,0.3809523809523814,0.1904761904761907,0.428571428571428,0.3809523809523814,0.0372340425531914,-2664.45,-0.1526119566887329,0.5629320072915762,0.5350211115972611,-2664.45,-1.907391645934267,-0.0152611956688732,0.0,0.0,0.0,220315.32,39063.0,0.0012527165740507,0.1264062137117686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021155688180496,0.0269299820466786,0.6506853747880451,0.5368410582852596,0.0760545969944471,0.9931270569620052
002246.SZ,20260519,1,0.0935374149659859,-0.0617954070981211,-0.0490901396529834,2.878652232191308,3.190173186897539,0.0,0.0,431234514.8,10.0134,2.6562,0.71,1233681.1821,46.9039,3.9435,-0.0614886731391585,0.0,0.0093042071197411,3.4331,0.0,0.0,2.4001,0.63,0.1269841269841269,123.36811821,0.1139589905362776,0.191726618705036,0.5393,-4.750699999999999,3.0,0.3578947368421054,0.3368421052631584,0.6421052631578946,0.0210526315789469,0.0422785936804628,1723.0,0.0521220273401904,0.7554462802692542,0.5762900543180766,1723.0,2.3766269045469435,0.005212202734019,0.0,0.0,0.0,1081288.0,48100.0,0.0025074245286268,0.3298316322661188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089989071965563,0.0401805869074491,0.6683832655608204,0.4961475720983677,0.0800927100547894,0.7667702947046204
